Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,TTL,TCP Flags,Payload Size,Attack Type,Interarrival Time,Packet Count
1743689378.1302063,192.168.68.99,192.168.233.27,17,53,56663,540,64,None,512,UDP Flood,0.0,132
1743689378.1302063,192.168.68.99,192.168.233.27,17,53,20588,554,64,None,2,Normal,0.0,133
1743689378.1302063,192.168.68.99,192.168.233.27,17,53,20588,540,64,None,512,UDP Flood,0.0,134
1743689378.1457791,192.168.68.99,192.168.233.27,17,53,28087,540,64,None,512,UDP Flood,0.015572786331176758,135
1743689378.1457791,192.168.68.99,192.168.233.27,17,53,28087,554,64,None,2,Normal,0.0,136
1743689378.149187,192.168.68.99,192.168.233.27,17,53,45786,554,64,None,2,Normal,0.0034079551696777344,137
1743689378.149187,192.168.68.99,192.168.233.27,17,53,45786,540,64,None,512,UDP Flood,0.0,138
1743689378.149187,192.168.68.99,192.168.233.27,17,53,51139,554,64,None,2,Normal,0.0,139
1743689378.149187,192.168.68.99,192.168.233.27,17,53,51139,540,64,None,512,UDP Flood,0.0,140
1743689378.1617975,192.168.68.99,192.168.233.27,17,53,44188,540,64,None,512,UDP Flood,0.012610435485839844,141
1743689378.1617975,192.168.68.99,192.168.233.27,17,53,44188,554,64,None,2,Normal,0.0,142
1743689378.1734369,192.168.68.99,192.168.233.27,17,53,61049,554,64,None,2,Normal,0.01163935661315918,143
1743689378.1734369,192.168.68.99,192.168.233.27,17,53,61049,540,64,None,512,UDP Flood,0.0,144
1743689378.1788862,192.168.68.99,192.168.233.27,17,53,51774,554,64,None,2,Normal,0.0054492950439453125,145
1743689378.1788862,192.168.68.99,192.168.233.27,17,53,51774,540,64,None,512,UDP Flood,0.0,146
1743689378.1788862,192.168.68.99,192.168.233.27,17,53,5335,554,64,None,2,Normal,0.0,147
1743689378.1788862,192.168.68.99,192.168.233.27,17,53,5335,540,64,None,512,UDP Flood,0.0,148
1743689378.1948614,192.168.68.99,192.168.233.27,17,53,20746,554,64,None,2,Normal,0.015975236892700195,149
1743689378.1948614,192.168.68.99,192.168.233.27,17,53,20746,540,64,None,512,UDP Flood,0.0,150
1743689378.1948614,192.168.68.99,192.168.233.27,17,53,34926,554,64,None,2,Normal,0.0,151
1743689378.1948614,192.168.68.99,192.168.233.27,17,53,34926,540,64,None,512,UDP Flood,0.0,152
1743689378.1948614,192.168.68.99,192.168.233.27,17,53,13095,554,64,None,2,Normal,0.0,153
1743689378.1948614,192.168.68.99,192.168.233.27,17,53,13095,540,64,None,512,UDP Flood,0.0,154
1743689378.2094307,192.168.68.99,192.168.233.27,17,53,58682,554,64,None,2,Normal,0.014569282531738281,155
1743689378.2094307,192.168.68.99,192.168.233.27,17,53,58682,540,64,None,512,UDP Flood,0.0,156
1743689378.2094307,192.168.68.99,192.168.233.27,17,53,64883,554,64,None,2,Normal,0.0,157
1743689378.2094307,192.168.68.99,192.168.233.27,17,53,64883,540,64,None,512,UDP Flood,0.0,158
1743689378.2094307,192.168.68.99,192.168.233.27,17,53,64934,554,64,None,2,Normal,0.0,159
1743689378.2094307,192.168.68.99,192.168.233.27,17,53,64934,540,64,None,512,UDP Flood,0.0,160
1743689378.225195,192.168.68.99,192.168.233.27,17,53,28692,540,64,None,512,UDP Flood,0.015764236450195312,161
1743689378.225195,192.168.68.99,192.168.233.27,17,53,28692,554,64,None,2,Normal,0.0,162
1743689378.225195,192.168.68.99,192.168.233.27,17,53,49736,554,64,None,2,Normal,0.0,163
1743689378.225195,192.168.68.99,192.168.233.27,17,53,49736,540,64,None,512,UDP Flood,0.0,164
1743689378.225195,192.168.68.99,192.168.233.27,17,53,19662,554,64,None,2,Normal,0.0,165
1743689378.225195,192.168.68.99,192.168.233.27,17,53,19662,540,64,None,512,UDP Flood,0.0,166
1743689378.240816,192.168.68.99,192.168.233.27,17,53,34418,540,64,None,512,UDP Flood,0.015621185302734375,167
1743689378.240816,192.168.68.99,192.168.233.27,17,53,34418,554,64,None,2,Normal,0.0,168
1743689378.240816,192.168.68.99,192.168.233.27,17,53,15321,554,64,None,2,Normal,0.0,169
1743689378.240816,192.168.68.99,192.168.233.27,17,53,15321,540,64,None,512,UDP Flood,0.0,170
1743689378.240816,192.168.68.99,192.168.233.27,17,53,29012,554,64,None,2,Normal,0.0,171
1743689378.240816,192.168.68.99,192.168.233.27,17,53,29012,540,64,None,512,UDP Flood,0.0,172
1743689378.2564516,192.168.68.99,192.168.233.27,17,53,17576,540,64,None,512,UDP Flood,0.01563549041748047,173
1743689378.2564516,192.168.68.99,192.168.233.27,17,53,17576,554,64,None,2,Normal,0.0,174
1743689378.2564516,192.168.68.99,192.168.233.27,17,53,48717,554,64,None,2,Normal,0.0,175
1743689378.2564516,192.168.68.99,192.168.233.27,17,53,48717,540,64,None,512,UDP Flood,0.0,176
1743689378.2564516,192.168.68.99,192.168.233.27,17,53,48333,554,64,None,2,Normal,0.0,177
1743689378.2564516,192.168.68.99,192.168.233.27,17,53,48333,540,64,None,512,UDP Flood,0.0,178
1743689378.2735934,192.168.68.99,192.168.233.27,17,53,43186,554,64,None,2,Normal,0.01714181900024414,179
1743689378.2735934,192.168.68.99,192.168.233.27,17,53,43186,540,64,None,512,UDP Flood,0.0,180
1743689378.2735934,192.168.68.99,192.168.233.27,17,53,57503,554,64,None,2,Normal,0.0,181
1743689378.2735934,192.168.68.99,192.168.233.27,17,53,57503,540,64,None,512,UDP Flood,0.0,182
1743689378.2735934,192.168.68.99,192.168.233.27,17,53,39632,554,64,None,2,Normal,0.0,183
1743689378.2735934,192.168.68.99,192.168.233.27,17,53,39632,540,64,None,512,UDP Flood,0.0,184
1743689378.288257,192.168.68.99,192.168.233.27,17,53,62726,554,64,None,2,Normal,0.014663457870483398,185
1743689378.288257,192.168.68.99,192.168.233.27,17,53,62726,540,64,None,512,UDP Flood,0.0,186
1743689378.288257,192.168.68.99,192.168.233.27,17,53,12992,554,64,None,2,Normal,0.0,187
1743689378.288257,192.168.68.99,192.168.233.27,17,53,12992,540,64,None,512,UDP Flood,0.0,188
1743689378.288257,192.168.68.99,192.168.233.27,17,53,3725,554,64,None,2,Normal,0.0,189
1743689378.304049,192.168.68.99,192.168.233.27,17,53,3725,540,64,None,512,UDP Flood,0.015792131423950195,190
1743689378.304049,192.168.68.99,192.168.233.27,17,53,58233,554,64,None,2,Normal,0.0,191
1743689378.304049,192.168.68.99,192.168.233.27,17,53,58233,540,64,None,512,UDP Flood,0.0,192
1743689378.3196561,192.168.68.99,192.168.233.27,17,53,1744,554,64,None,2,Normal,0.015607118606567383,193
1743689378.3196561,192.168.68.99,192.168.233.27,17,53,1744,540,64,None,512,UDP Flood,0.0,194
1743689378.3196561,192.168.68.99,192.168.233.27,17,53,41387,554,64,None,2,Normal,0.0,195
1743689378.3196561,192.168.68.99,192.168.233.27,17,53,41387,540,64,None,512,UDP Flood,0.0,196
1743689378.3352726,192.168.68.99,192.168.233.27,17,53,40432,554,64,None,2,Normal,0.015616416931152344,197
1743689378.3352726,192.168.68.99,192.168.233.27,17,53,40432,540,64,None,512,UDP Flood,0.0,198
1743689378.3352726,192.168.68.99,192.168.233.27,17,53,55535,554,64,None,2,Normal,0.0,199
1743689378.350829,192.168.68.99,192.168.233.27,17,53,55535,540,64,None,512,UDP Flood,0.01555633544921875,200
1743689378.350829,192.168.68.99,192.168.233.27,17,53,48609,554,64,None,2,Normal,0.0,201
1743689378.350829,192.168.68.99,192.168.233.27,17,53,48609,540,64,None,512,UDP Flood,0.0,202
1743689378.3665247,192.168.68.99,192.168.233.27,17,53,56776,540,64,None,512,UDP Flood,0.015695810317993164,203
1743689378.3665247,192.168.68.99,192.168.233.27,17,53,56776,554,64,None,2,Normal,0.0,204
1743689378.3736959,192.168.68.99,192.168.233.27,17,53,53963,554,64,None,2,Normal,0.007171154022216797,205
1743689378.3736959,192.168.68.99,192.168.233.27,17,53,53963,540,64,None,512,UDP Flood,0.0,206
1743689378.382263,192.168.68.99,192.168.233.27,17,53,51847,554,64,None,2,Normal,0.008567094802856445,207
1743689378.382263,192.168.68.99,192.168.233.27,17,53,51847,540,64,None,512,UDP Flood,0.0,208
1743689378.382263,192.168.68.99,192.168.233.27,17,53,13664,554,64,None,2,Normal,0.0,209
1743689378.382263,192.168.68.99,192.168.233.27,17,53,13664,540,64,None,512,UDP Flood,0.0,210
1743689378.3980296,192.168.68.99,192.168.233.27,17,53,61777,554,64,None,2,Normal,0.015766620635986328,211
1743689378.3980296,192.168.68.99,192.168.233.27,17,53,61777,540,64,None,512,UDP Flood,0.0,212
1743689378.3980296,192.168.68.99,192.168.233.27,17,53,41427,554,64,None,2,Normal,0.0,213
1743689378.3980296,192.168.68.99,192.168.233.27,17,53,41427,540,64,None,512,UDP Flood,0.0,214
